text,rankings,y_true,raw_results
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: intracranial abscess symptoms
Passage 1: fixture unit. A measure of the probable discharge into the drainage system by various types of plumbing fixtures; expressed in units of cubic volume per minute; the value for a particular fixture depends on: its volume rate of drainage discharge; the time duration of a single drainage operation; and the average time between successive operations.
Passage 2: The Cascade Range is a part of the American Cordillera, a nearly continuous chain of mountain ranges (cordillera) that form the western backbone of North America, Central America, and South America
Passage 3: Cascade Range. The Cascade Range or Cascades is a major mountain range of western North America, extending from southern British Columbia through Washington and Oregon to Northern California. It includes both non-volcanic mountains, such as the North Cascades, and the notable volcanoes known as the High Cascades. The small part of the range in British Columbia is referred to as the Canadian Cascades or, locally, as the Cascade Mountains.
Passage 4: Intracranial Epidural Abscess and Subdural Empyema A brain abscess is an intracerebral collection of pus. Symptoms may include headache, lethargy, fever, and focal neurologic deficits. Diagnosis is by contrast-enhanced MRI or CT. Treatment is with antibiotics and usually CT-guided stereotactic aspiration or surgical drainage.
Passage 5: For members over 65, AARP has an array of quality Medicare advantage, Medicare supplement and Medicare prescription drug insurance plans specially designed for Medicare-eligible persons. 1  Medicarecomplete-comprehensive plans that offer all the benefits covered under Medicare and more.

## Ranking: 2, 5, 3, 1, 4","[4, 1, 2, 3, 5]","[2, 5, 3, 1, 4]","4,1,2,3,5"
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: symptoms vulvovaginitis
Passage 1: How to calculate the running yield. The running yield is very easy to work out. Let’s say Treasury 5% has five years to maturity and is currently selling for £120. It has a nominal value of £100. We can see from its name that it pays a coupon of 5% of £100, so £5 per year.
Passage 2: Some women with recurrent candidal infections opt for treatment with over-the-counter (OTC) medications, which generally are highly effective for candidiasis. Preparations for intravaginal administration of butoconazole, clotrimazole, miconazole, and tioconazole are available OTC. However, self medication with OTC preparations should be advised only for women who have been diagnosed previously with vulvovaginal candidiasis and who have a recurrence of the same symptoms.
Passage 3: Applicants may find no middle ground in the ways people view the student government experience. By Menachem Wecker, Staff Writer | April 5, 2012, at 9:00 a.m. College Student Leaders Divided on Benefits of Student Government.
Passage 4: A Honor Society of Nursing (STTI) answered. The most common symptoms of nonspecific vulvovaginitis include inflammation (redness, irritation) or itching of the vaginal opening and lips (labia). This can be accompanied by a vaginal discharge that is green, brown, or grey in color and has an unpleasant odor.
Passage 5: nan

## Ranking: 4, 2, 3, 1, 5","[4, 2, 1, 3, 5]","[4, 2, 3, 1, 5]","4, 2, 1, 3, 5"
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: how much cost nose job in miami?
Passage 1: For an easy, flavorful weeknight dinner, toss spaghetti with olive oil, a bit of garlic, capers, and tomatoes or asparagus and prosciutto. But pasta's just the start—capers do wonders for lean proteins, adding a piquant bite to skate wings, whitefish, and chicken (whether braised or browned).
Passage 2: In Miami, you should expect to pay an a verage rhinoplasty cost of $6,500. The anesthesia fee can range between $1,000 and $3,000 among the highest when compared to other cities. Rhinoplasty cost Miami should be researched thoroughly and the best surgeon identified before finding a fair price for quality of course.
Passage 3: Combine 2 tablespoons lemon juice and olive oil in a large zip-lock bag. Add halibut steaks and marinate 5 minutes. Spray a nonstick skillet with cooking spray and heat to medium. Place halibut in skillet and cook 3 minutes. Turn, cook 2 minutes longer, then remove fish from skillet.
Passage 4: Hollister pays the city of Huntington Beach for the cameras located on the Huntington Beach Pier. By October 2, 2007, 100 select Hollister California stores began to promote Abercrombie & Fitch Co.'s fifth brand Gilly Hicks prior to the latter's debut in January 2008.
Passage 5: Roller chain or bush roller chain is the type of chain drive most commonly used for transmission of mechanical power on many kinds of domestic, industrial and agricultural machinery, including conveyors, wire- and tube-drawing machines, printing presses, cars, motorcycles, and bicycles.

## Ranking: 2, 1, 4, 5, 3","[2, 1, 3, 4, 5]","[2, 1, 4, 5, 3]","2,1,3,4,5"
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: what causes sarcoids in horses
Passage 1: A papilloma virus (wart) is probably what causes horse sarcoids. A high proportion of sarcoids contain genetic material that is identical, or very closely related, to the bovine papilloma virus (BPV).sually the clinical appearance is adequate to make a diagnosis. Especially if several sarcoids of more than one type are present on the same horse. It is more difficult if only one occult sarcoid is present.
Passage 2: Power Thesaurus. 1969. excrete thesaurus http://www.powerthesaurus.org/excrete/synonyms (accessed August 31, 2017).
Passage 3: Retrieved December 27, 2017, from http://www.powerthesaurus.org/excrete/synonyms Chicago Power Thesaurus. 1969. excrete thesaurus http://www.powerthesaurus.org/excrete/synonyms (accessed December 27, 2017). Harvard: Power Thesaurus 1969, excrete thesaurus, Power Thesaurus, viewed 27 December, 2017, <http://www.powerthesaurus.org/excrete/synonyms>. MLA: Power Thesaurus. excrete thesaurus 31 December 1969. Web. 27 December 2017. <http://www.powerthesaurus.org/excrete/synonyms>
Passage 4: Chronic kidney disease is a condition of the kidneys that can cause high blood pressure, fatigue, and weakness. Dehydration, or not getting enough fluid, causes low blood pressure, weakness, dizziness, fatigue, and nausea.
Passage 5: 1 Print color and black and white at up to 21 pages per minute. 2  Faxes at 3 seconds per page. 3  Makes up to 21 copies per minute. 4  50-sheet auto document feeder makes copying, scanning and faxing multiple pages a snap. Easily scan to, or print documents directly from, your USB flash drive. 2  Up to 600 x 600 dpi (optical) ; 9600 x 9600 dpi (Interpolated) scan resolution. 3  Duty cycle: up to 40,000 pages per month. 4  ENERGY STAR certified — meets federal guidelines for energy efficiency. 5  EPEAT Silver certified — has multiple eco-attributes.

## Ranking: 1, 2, 3, 4, 5","[1, 4, 5, 2, 3]","[1, 2, 3, 4, 5]","1, 4, 5, 2, 3"
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: causes of hormonal acne
Passage 1: Hormonal factors key to understanding acne in women. SAN DIEGO (March 16, 2012) —Information presented at American Academy of Dermatology’s 70th Annual Meeting by Bethanee Jean Schlosser, MD, PhD, FAAD, assistant professor of dermatology and director of Women’s Skin Health at Northwestern University, Feinberg School of Medicine.
Passage 2: Primary causes of acne. 1  Excess sebum, or oil gland, production (influenced by hormones). 2  Skin cells that shed become abnormally sticky and accumulate, or clog up, in the hair follicle (influenced by hormones). 3  Increased number of the acne-causing bacterium Propionbacterium acnes, or P. acnes. 4  Skin inflammation. more information...
Passage 3: Target: Edina — 1.2 miles; Target: Richfield — 3.5 miles; Target: St Louis Park — 5.6 miles; Other Nearby: Mattress Firm: Bloomington — 0.3 miles; Home Depot: Bloomington — 1.3 miles; Walmart: Bloomington — 2.2 miles; Hours for other Bloomington stores...
Passage 4: FACTS: 1  A study examining the prevalence of acne in adults over age 20 found that acne affects more than 50 percent of women between the ages of 20-29 and more than 25 percent of women between the ages of 40-49. The study found a disproportionate number of adult women were affected by acne compared to similar-aged men.
Passage 5: An alternative route, mostly for demonstration purposes, is the oxalate method, which also applicable to the synthesis of ferrous oxide and stannous oxide. Upon heating in an oxygen-free atmosphere (usually CO 2), manganese(II) oxalate decomposes into MnO:

## Ranking: 1, 3, 4, 2, 5","[2, 1, 4, 5, 3]","[1, 3, 4, 2, 5]","2, 1, 4, 5, 3"
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: what is common cancer of the musculoskeletal system
Passage 1: For now, Egglesfield seems to be the guy that Ackerman needs, especially after her recent divorce with Roberto Zincone. Ackerman, who has a one year old son, recently went through a hard time in her personal life.
Passage 2: Firefighters battled a pair of brush fires in Granada Hills Monday, April 27, 2015. Here firefighters try to stop a stubborn compost fire in the reservoir behind Woodley Avenue. (Photo by David Crane/Los Angeles Daily News).
Passage 3: Metastatic diseases of the musculoskeletal system can attack any bone. Breast cancer – One of the most common types of cancer in women is breast cancer. In up to 73 percent of patients with metastatic breast carcinoma, a bone lesion will be identified.
Passage 4: Integrated curriculum seems to be the best vehicle for empowering students, parents, and teachers (Vars, 1991). Yet, many schools are structured where students move from one subject area to the next, information is disconnected and the ability to make material relevant to the lives of the students is lost.
Passage 5: There is a strong push to involve students in their learning, to let them create. their own understanding, to encourage critical thinking, and to increase students’. responsibility in schooling. Integrated curriculum translates this theory into practice.

## Ranking: 5, 3, 1, 4, 2","[3, 1, 2, 4, 5]","[5, 3, 1, 4, 2]","3,1,2,4,5"
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: is there a medication to stop hair loss
Passage 1: Multiple sclerosis is an autoimmune disease that affects the brain and spinal cord (central nervous system). Multiple sclerosis (MS) affects women more than men. The disorder is most commonly diagnosed between ages 20 to 40, but it can be seen at any age. MS is caused by damage to the myelin sheath. This sheath is the protective covering that surrounds nerve cells.
Passage 2: Minoxidil, applied topically, is widely used for the treatment of hair loss. It is effective in helping promote hair growth in both males and females with androgenic alopecia. About 40% of men experience hair regrowth after 3–6 months.
Passage 3: free acronyms and abbreviations finder and definitions-business, training, medical, military, technical, funny-acronyms, backronyms and abbreviations meanings. Some of these acronyms could be considered 'politically incorrect', including a few which could be interpreted to be rude or offensive.
Passage 4: Multiple sclerosis (MS) facts. 1  Multiple sclerosis (MS) is a disease that causes demyelination (disruption of the myelin that insulates and protects nerve cells) of spinal nerve and brain cells.  Although the exact case is unknown, multiple sclerosis is considered to be an autoimmune disease.
Passage 5: I do not want to talk you out of your bad feelings. I am not a therapist or other mental health professional-only someone who knows what it is like to be in pain. I don't know who you are, or why you are reading this page. I only know that for the moment, you're reading it, and that is good. do not want to talk you out of your bad feelings. I am not a therapist or other mental health professional-only someone who knows what it is like to be in pain. I don't know who you are, or why you are reading this page. I only know that for the moment, you're reading it, and that is good.

## Ranking: 3, 1, 5, 2, 4","[2, 1, 4, 5, 3]","[3, 1, 5, 2, 4]","2, 1, 4, 5, 3"
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: is discharge normal in pregnancy
Passage 1: Rating Newest Oldest. Best Answer: Fiery is usually a software that is used for graphics processing to a production printer or plotter. Printers using fiery software are usually in the $1,500.00 and up bracket all the way to production presses at 100's of thousands each. Fiery isn't really the printer but actually a software to drive a printer.
Passage 2: Pregnancy discharge occurs as a result of the natural cleansing process of the vagina. Dead cells from the vaginal walls, cervical discharge and bacteria (normal in the vagina) are all part of pregnancy discharge.
Passage 3: But when the dentist pointed out that it was more than just a cosmetic issue-it's harder to clean between crooked teeth-Richardson, a jewelry designer in Boca Raton, FL, signed on for the mouthful of hardware normally associated with teens. Indeed, soon after, she and her 14-year-old son became a matched pair... 1  Does not smell bad. 2  Is not accompanied by pain, itching, burning, or redness. 3  Varies with age, menstrual cycle, pregnancy, and use of birth control pills.
Passage 4: Pregnancy discharge is a normal part of pregnancy. Early in pregnancy it is often associated with the development of the cervical plug. Later in pregnancy, it works as a lubricant for the vaginal canal during labor.
Passage 5: Final Thoughts on Ear Infection Symptoms. 1  Ear infections are bacterial or viral infections that cause inflammation in the outer, middle or inner parts of the ears. The most common type of ear infection, especially in young children or babies, is middle ear infection (also called acute otitis media).

## Ranking: 2, 3, 5, 1, 4","[2, 4, 3, 5, 1]","[2, 3, 5, 1, 4]","2, 4, 3, 5, 1"
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: population du mandoul
Passage 1: Mandoul (ماندول) 628,065: Koumra (كورما) Barh Sara (بحر سارا), Mandoul Occidental (ماندول الغربية), Mandoul Oriental (ماندول الشرقية) 14: Mayo-Kebbi Est (مايو كيبي الشرقية) 774,782: Bongor (بونقور)
Passage 2: • Plan ahead, think about what types of bridal nails you want and what design. Try as many manicure styles you can, so you can make the perfect choice for your wedding day. • Go with someone you trust. If you have a manicurist you routinely go to, plan on using them for your wedding nails.
Passage 3: Mandoul: Koumra: Barh Sara, Mandoul Occidental, Mandoul Oriental: 11: Mayo-Kebbi Est: Bongor: Mayo-Boneye, Kabbia, Mont d'Illi (1), Mayo Lemie (1) 12: Mayo-Kebbi Ouest: Pala: Lac Léré, Mayo-Dallah: 13: Moyen-Chari: Sarh: Barh Köh, Grande Sido, Lac Iro: 14: Ouaddaï: Abéché: Assoungha, Djourf Al Ahmar, Ouara, Sila: 15: Salamat: Am Timan: Aboudeïa, Barh Azoum, Haraze Mangueigne: 16: Tandjilé
Passage 4: Intraocular pressure: The pressure created by the continual renewal of fluids within the eye. The intraocular pressure is increased in glaucoma. In acute angle-closure glaucoma, the intraocular pressure rises because the canal into which the fluid in the front part of the eye normally drains is suddenly blocked.
Passage 5: Author summary A global programme aims to eliminate Gambian sleeping sickness (Human African Trypanosomiasis, HAT) as a public health problem by 2020. Gambian HAT is a neglected tropical disease caused by trypanosomes spread by tsetse flies and its control has relied largely on detection and treatment of human cases. In the Mandoul focus of southern Chad, regular screening of the human population (~39000 people) between 2002 and 2013 resulted in the detection and treatment of ~100 cases/year. We examined whether even better control might be achieved through the addition of vector control to medical screening.

## Ranking: 1, 4, 2, 5, 3","[1, 3, 5, 4, 2]","[1, 4, 2, 5, 3]","1, 3, 5, 4, 2"
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: does sweating because it's hot help you lose weight?
Passage 1: Actually, sweating does help you lose weight. A 30 minute sauna creates approximately the same amount of perspiration as a 10 kilometer run. As your body increases sweat production to cool itself, your heart works harder to boost circulation, thus improving your cardiovascular system.
Passage 2: Sharon, New York. Sharon is a town in Schoharie County, New York, United States. The population was 1,843 at the 2000 census. The town is named after a location in Connecticut, from whence some early settlers came. The Town of Sharon is in the northwest corner of the county and is southwest of Amsterdam.
Passage 3: Because, The Civil War wasn't about slavery, he wrote. It was about secession.. In a companion tweet, McInnes said anyone, like Northerners, who think the Civil War was about slavery should go to Google. Look it up, said McInnes, who was born in England and grew up in Canada.
Passage 4: Welcome to Sharon Springs. Visit Sharon Springs in any season and attend one of our great events! Feel its energy…the ongoing revitalization of this once well known historic spa town and surrounding farmlands has captivated visitors, encouraging them to return year after year.
Passage 5: The use of the DH is the biggest difference. Without the DH, National League Managers are responsible for Double-Switches, Roster utilization and more strategy.

## Ranking: 1, 2, 3, 5, 4","[1, 5, 3, 4, 2]","[1, 2, 3, 5, 4]","1, 5, 3, 4, 2"
